"","NAME","COURT","JUDICIAL POSITION","COURT ADDRESS","SIGNED DATE","EXCESS EXPENSE REIMBURSEMENT INSTANCE","EXCESS EXPENSE REIMBURSEMENT SOURCE","EXCESS EXPENSE REIMBURSEMENT AMOUNT","year"
"36","SYDNEY HANLON","MASS APPEALS COURT","ASSOCIATE JUSTICE","ONE PEMBERTON SQUARE","APR/15/2015",NA,NA,NA,2014
"37","SYDNEY HANLON","MASS APPEALS COURT","ASSOCIATE JUSTICE","ONE PEMBERTON SQUARE","APR/15/2015",NA,NA,NA,2014
"38","SYDNEY HANLON","MASS APPEALS COURT","ASSOCIATE JUSTICE","ONE PEMBERTON SQUARE","APR/15/2015",NA,NA,NA,2014
"39","SYDNEY HANLON","MASS APPEALS COURT","ASSOCIATE JUSTICE","ONE PEMBERTON SQUARE","APR/15/2015",NA,NA,NA,2014
"40","SYDNEY HANLON","MASS APPEALS COURT","ASSOCIATE JUSTICE","ONE PEMBERTON SQUARE","APR/15/2015",NA,NA,NA,2014
"41","SCOTT KAFKER","MASS APPEALS COURT","ASSOCIATE JUSTICE","ONE PEMBERTON SQUARE","APR/14/2014",NA,NA,NA,2014
"42","SCOTT KAFKER","MASS APPEALS COURT","ASSOCIATE JUSTICE","ONE PEMBERTON SQUARE","APR/14/2014",NA,NA,NA,2014
"43","SCOTT KAFKER","MASS APPEALS COURT","ASSOCIATE JUSTICE","ONE PEMBERTON SQUARE","APR/14/2014",NA,NA,NA,2014
"44","R. MARC KANTRWITZ","MASS APPEALS COURT","ASSOCIATE JUSTICE","ONE PEMBERTON SQUARE","MAR/23/2015",NA,NA,NA,2014
"45","R. MARC KANTRWITZ","MASS APPEALS COURT","ASSOCIATE JUSTICE","ONE PEMBERTON SQUARE","MAR/23/2015",NA,NA,NA,2014
"46","GARY S. KATZMANN","MASS APPEALS COURT","ASSOCIATE JUSTICE","ONE PEMBERTON SQUARE","APR/10/2015",NA,NA,NA,2014
"47","GARY S. KATZMANN","MASS APPEALS COURT","ASSOCIATE JUSTICE","ONE PEMBERTON SQUARE","APR/10/2015",NA,NA,NA,2014
"48","DIANA L. MALDONADO","MASS APPEALS COURT","ASSOCIATE JUSTICE","ONE PEMBERTON SQUARE","APR/28/2015",NA,NA,NA,2014
"49","GREGORY I. MASSING","MASS APPEALS COURT","ASSOCIATE JUSTICE","ONE PEMBERTON SQUARE","MAR/03/2015",NA,NA,NA,2014
"50","WILLIAM J. MEADE","MASS APPEALS COURT","ASSOCIATE JUSTICE","ONE PEMBERTON SQUARE","JAN/29/2015",NA,NA,NA,2014
"51","JAMES R. MILKEY","MASS APPEALS COURT","ASSOCIATE JUSTICE","ONE PEMBERTON SQUARE","APR/12/2015",NA,NA,NA,2014
"52","PHILLIP RAPOZA","MASS APPEALS COURT","CHIEF JUSTICE","ONE PEMBERTON SQUARE","APR/01/2015",NA,NA,NA,2014
"53","PHILLIP RAPOZA","MASS APPEALS COURT","CHIEF JUSTICE","ONE PEMBERTON SQUARE","APR/01/2015",NA,NA,NA,2014
"54","PETER J. RUBIN","MASS APPEALS COURT","ASSOCIATE JUSTICE","ONE PEMBERTON SQUARE","APR/14/2015",NA,NA,NA,2014
